pmm,smm,vmm,exclude,deceased,first_name,nick_name,last_name,organization_name,total_donations,total_pledge,largest_gift,largest_gift_appeal,first_gift_date,last_gift_date,last_gift_amount,last_gift_request,last_gift_appeal,address_line1,address_line2,city,contact_phone_type,phone_restrictions,email_restrictions,communication_restrictions,subscription_events_in_person,subscription_events_magazine,communication_preference
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Leila,Buddy,Smirnov,,152768,197650,116516,Appeal3,1641810355,189533222,16182,1719384386,Appeal1,123 Maple Street,,Maple Ridge,Work,No Mass Communications,No Mass Communications,,Opt-out,Opt-in,Survey
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Hassan,,Kim,,511145,99449,408960,Appeal1,1634042249,778648897,15,1721484034,Appeal1,565 Cedarwood Boulevard,Unit 404,New Westminster,Work,No Mass Appeals,No Mass Appeals,No Mass Appeals,Opt-out,Opt-in,Survey
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Bob,,Smirnov,,0,396670,0,Appeal3,0,0,0,1735883725,Appeal2,606 Aspen Circle,Apt 101,New Westminster,Home,No Mass Communications,No Surveys,No Mass Appeals,Opt-out,Opt-in,Holiday Card
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Sven,,Lee,,0,396885,0,Appeal1,0,0,0,1723829776,Appeal3,343 Pinewood Avenue,Unit 454,Courtenay,Mobile,,No Mass Communications,,Opt-in,Opt-out,
Peter Smith,John Doe,Sven Müller,yes,no,Chao,Pumpkin,?,Jokester Junction,0,329336,0,Appeal1,0,0,0,1737822957,Appeal3,777 Laurel Way,Unit 999,Courtenay,Mobile,Do Not Call,No Mass Appeals,Do Not Email,Opt-out,Opt-in,Holiday Card
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Dimitri,Doll,Smith,,0,770196,0,Appeal2,0,0,0,1739846337,Appeal1,1818 Juniperwood Drive,Unit 454,Langley,Work,No Surveys,No Surveys,Do Not Email,Opt-out,Opt-in,Event
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Bob,Angel,Williams,,322639,706009,5145,Appeal2,1718752695,406518086,24767,1730466782,Appeal1,1717 Hickorywood Court,,Delta,Mobile,Do Not Call,No Surveys,Do Not Email,Opt-out,Opt-in,
Peter Smith,John Doe,Chao Nguyen,yes,no,Alice,Doll,Jones,Mirthful Manufacturing,0,421643,0,Appeal3,0,0,0,1737642643,Appeal1,333 Magnolia Boulevard,Apt 343,Victoria,Home,Do Not Call,,,Opt-out,Opt-in,Event
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Alice,,?,,0,0,0,Appeal2,0,0,0,1713918037,Appeal3,1313 Poplarwood Street,Unit 232,Kelowna,Mobile,No Mass Communications,No Mass Communications,Do Not Email,Opt-out,Opt-in,Newsletter
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Bob,Sugar,Jones,,0,931801,0,Appeal1,0,0,0,1717743712,Appeal2,565 Cedarwood Boulevard,Apt 303,White Rock,Home,,No Mass Communications,,Opt-out,Opt-in,Research update
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Bob,,Müller,,0,627116,0,Appeal2,0,0,0,1718354647,Appeal1,789 Pine Lane,Apt 343,Nanaimo,Home,,No Mass Communications,Do Not Email,Opt-out,Opt-in,Appeal
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Jane,,Nguyen,,704882,936110,251284,Appeal3,1584268656,1289690458,106731,1738939494,Appeal2,808 Cypress Place,Apt 343,Abbotsford,Home,No Surveys,Do Not Email,No Mass Communications,Opt-out,Opt-in,Holiday Card
Parvati Patel,Alice Smith,Priya Gupta,no,no,Maria,,Ahmed,,0,430500,0,Appeal1,0,0,0,1727208098,Appeal3,808 Cypress Place,,Burnaby,Work,,Do Not Email,No Mass Appeals,Opt-in,Opt-out,Newsletter
Peter Smith,John Doe,Chao Nguyen,yes,no,Ingrid,,Nakamura,,0,0,0,Appeal2,0,0,0,1714771605,Appeal2,1515 Magnoliawood Lane,,Victoria,Mobile,No Mass Communications,,No Mass Appeals,Opt-out,Opt-in,Research update
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Jane,,Ivanov,,746024,235663,38367,Appeal2,1733933617,870042749,159200,1738891988,Appeal2,565 Cedarwood Boulevard,,White Rock,Work,Do Not Call,Do Not Email,,Opt-out,Opt-in,Survey
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Chao,Champ,Smirnov,,986610,795058,510446,Appeal1,1710749045,1308546575,131421,1725264232,Appeal1,303 Elm Drive,Apt 565,Maple Ridge,Home,No Mass Appeals,No Mass Appeals,No Surveys,Opt-out,Opt-in,Event
Gurtrude Schmidt,Jane Doe,Chao Nguyen,no,no,Mei,,??,,0,69471,0,Appeal3,0,0,0,1723454536,Appeal3,232 Oakwood Street,Apt 666,Parksville,Mobile,No Mass Appeals,No Mass Appeals,,Opt-in,Opt-in,Holiday Card
Gurtrude Schmidt,John Doe,Chao Nguyen,yes,no,Alice,,Hernández,,130513,893062,260,Appeal2,1680991513,268660436,33910,1729235831,Appeal2,1515 Magnoliawood Lane,Apt 909,Victoria,Work,No Surveys,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,Magazine
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Dimitri,,Silva,,536895,0,5824,Appeal3,1676251591,1719238164,99525,1717822065,Appeal3,787 Sprucewood Drive,Apt 909,Nanaimo,Work,No Surveys,No Mass Appeals,No Mass Communications,Opt-in,Opt-in,Inspiration event
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,John,,Williams,,22005,20718,5692,Appeal1,1686279645,1298333671,2119,1718944099,Appeal2,606 Aspen Circle,Unit 333,Port Coquitlam,Mobile,Do Not Call,Do Not Email,No Surveys,Opt-out,Opt-in,Research update
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Zainab,,Gupta,Goofy Gadgets,0,391903,0,Appeal2,0,0,0,1710730262,Appeal3,789 Pine Lane,Apt 444,Richmond,Home,No Surveys,Do Not Email,Do Not Email,Opt-in,Opt-in,Inspiration event
Peter Smith,Jane Doe,Sven Müller,yes,no,Dimitri,Pumpkin,Cohen,,332213,558041,132384,Appeal2,1694289532,1715914123,65366,1717432228,Appeal3,111 Poplar Avenue,,Campbell River,Work,No Surveys,,No Mass Appeals,Opt-in,Opt-in,Newsletter
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Alice,,Kumar,,15571,872430,5511,Appeal2,1675622048,104423929,4092,1734331992,Appeal2,606 Aspen Circle,Unit 333,Victoria,Work,,No Surveys,,Opt-in,Opt-in,Newsletter
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Priya,,Silva,,129312,0,59594,Appeal2,1680624391,545638929,41934,1730510498,Appeal1,606 Aspen Circle,Unit 404,Saanich,Home,No Surveys,Do Not Email,No Mass Appeals,Opt-in,Opt-in,Holiday Card
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Priya,,Silva,Quirky Quacks,964909,830227,230454,Appeal1,1588498976,1505898554,1258,1738044120,Appeal3,202 Cedar Court,,White Rock,Home,No Mass Communications,No Mass Appeals,No Surveys,Opt-in,Opt-in,Thank you
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Hiroshi,Sugar,Singh,,0,464590,0,Appeal2,0,0,0,1735661128,Appeal1,454 Birchwood Lane,Apt 666,White Rock,Mobile,No Mass Appeals,No Surveys,No Surveys,Opt-out,Opt-in,
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Peter,Sunshine,González,,0,142252,0,Appeal2,0,0,0,1732154936,Appeal1,1313 Poplarwood Street,Apt 444,Delta,Mobile,No Mass Communications,Do Not Email,,Opt-out,Opt-in,Appeal
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Rajesh,,Jones,Wacky Widgets,808805,784292,782582,Appeal1,1661462632,836843982,56069,1711089514,Appeal3,303 Elm Drive,Unit 676,Delta,Mobile,No Mass Communications,,,Opt-in,Opt-out,Inspiration event
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Carlos,,Müller,,0,817940,0,Appeal3,0,0,0,1738483462,Appeal1,232 Oakwood Street,,Victoria,Home,,,No Mass Appeals,Opt-out,Opt-in,Holiday Card
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,John,Doll,Müller,,0,476931,0,Appeal2,0,0,0,1708585385,Appeal1,404 Spruce Road,Unit 202,Maple Ridge,Work,No Mass Appeals,No Mass Communications,No Surveys,Opt-in,Opt-out,Newsletter
Gurtrude Schmidt,Jane Doe,Chao Nguyen,no,no,Zainab,,Gupta,,0,719822,0,Appeal1,0,0,0,1723862089,Appeal1,123 Maple Street,,Nanaimo,Mobile,No Mass Appeals,Do Not Email,Do Not Email,Opt-out,Opt-in,Holiday Card
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Peter,,Hernández,,330193,581245,23860,Appeal1,1600098204,943827411,9747,1734334435,Appeal1,343 Pinewood Avenue,Unit 999,Kamloops,Work,Do Not Call,No Mass Appeals,Do Not Email,Opt-in,Opt-out,
Gurtrude Schmidt,Jane Doe,Chao Nguyen,no,no,Olga,,Silva,,0,905042,0,Appeal2,0,0,0,1731015837,Appeal1,808 Cypress Place,Apt 888,Courtenay,Home,No Surveys,,No Surveys,Opt-in,Opt-in,Inspiration event
Gurtrude Schmidt,John Doe,Sven Müller,yes,no,Carlos,,Nguyen,Goofy Gadgets,0,64427,0,Appeal3,0,0,0,1712858164,Appeal1,555 Hickory Drive,,Victoria,Home,Do Not Call,No Mass Communications,,Opt-out,Opt-out,Magazine
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Juan,,Hernández,,0,134262,0,Appeal2,0,0,0,1714347697,Appeal3,505 Willow Way,Apt 707,Abbotsford,Work,,No Mass Appeals,No Mass Communications,Opt-out,Opt-out,Event
Peter Smith,John Doe,Sven Müller,no,no,Dimitri,,González,,874486,605981,248496,Appeal2,1739485951,386921801,87674,1722587435,Appeal3,1212 Firwood Place,,Nanaimo,Home,Do Not Call,,No Surveys,Opt-in,Opt-out,Holiday Card
Gurtrude Schmidt,John Doe,Sven Müller,yes,no,Ingrid,Babe,López,,0,0,0,Appeal1,0,0,0,1709832326,Appeal3,787 Sprucewood Drive,Unit 777,Courtenay,Mobile,No Mass Appeals,No Mass Appeals,No Mass Communications,Opt-in,Opt-in,
Peter Smith,John Doe,Chao Nguyen,no,no,Leila,,??????,Giggle Goods,0,473520,0,Appeal3,0,0,0,1715735687,Appeal2,202 Cedar Court,Apt 565,Parksville,Work,No Mass Appeals,No Mass Appeals,,Opt-out,Opt-out,Appeal
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Zainab,,Gupta,,69882,0,23397,Appeal2,1603092804,663570984,28778,1734701848,Appeal3,1313 Poplarwood Street,Apt 444,West Vancouver,Mobile,No Surveys,Do Not Email,,Opt-out,Opt-in,Thank you
Peter Smith,Jane Doe,Sven Müller,yes,no,Zainab,,Öztürk,,0,0,0,Appeal2,0,0,0,1712772697,Appeal2,1616 Dogwoodwood Boulevard,,Victoria,Work,No Mass Appeals,,,Opt-in,Opt-out,Inspiration event
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Hassan,,Cohen,Snicker Supplies,203979,623687,62489,Appeal3,1680336879,1548683878,49405,1730709603,Appeal1,999 Alder Terrace,Unit 999,Richmond,Work,No Mass Communications,No Surveys,No Mass Communications,Opt-in,Opt-in,Inspiration event
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Chao,,Cohen,,0,178517,0,Appeal1,0,0,0,1725688178,Appeal1,898 Willowwood Road,Apt 666,Kelowna,Home,No Mass Appeals,No Mass Appeals,No Mass Communications,Opt-in,Opt-out,Event
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,John,,??????,,0,987753,0,Appeal1,0,0,0,1719533398,Appeal1,909 Fir Street,Apt 909,Vancouver,Mobile,No Surveys,No Mass Appeals,No Surveys,Opt-out,Opt-in,
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Zainab,,López,,36082,152289,26622,Appeal1,1682335047,823409415,787,1711217374,Appeal3,787 Sprucewood Drive,,New Westminster,Work,Do Not Call,No Mass Communications,Do Not Email,Opt-out,Opt-in,Research update
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Sergei,Darling,Öztürk,,0,0,0,Appeal1,0,0,0,1731417688,Appeal1,333 Magnolia Boulevard,,Langley,Mobile,No Surveys,No Surveys,,Opt-out,Opt-in,Holiday Card
Parvati Patel,Bob Brown,Priya Gupta,no,no,Sergei,,López,,0,0,0,Appeal1,0,0,0,1738141859,Appeal3,565 Cedarwood Boulevard,,Richmond,Work,,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,Research update
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Hassan,,Nakamura,,41138,745681,1413,Appeal3,1676724944,370748363,14537,1714317905,Appeal2,111 Poplar Avenue,Unit 999,Abbotsford,Mobile,No Mass Appeals,No Mass Communications,No Mass Communications,Opt-out,Opt-in,Event
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Juan,Darling,Chen,,547834,914927,346007,Appeal2,1666310236,480213671,61911,1712997318,Appeal2,808 Cypress Place,Apt 121,Saanich,Mobile,No Surveys,No Mass Communications,Do Not Email,Opt-out,Opt-out,Newsletter
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Fatima,,Ivanov,,0,23269,0,Appeal3,0,0,0,1729350802,Appeal3,565 Cedarwood Boulevard,Apt 787,Nanaimo,Mobile,,,No Mass Appeals,Opt-out,Opt-in,Research update
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Sven,,Lee,Whatchamacallit Corp.,630781,145662,47205,Appeal2,1674905652,817447382,8128,1727965284,Appeal3,789 Pine Lane,Apt 666,Maple Ridge,Home,,Do Not Email,No Mass Communications,Opt-in,Opt-in,
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Carlos,Buddy,González,,755598,67034,278656,Appeal3,1610876869,1346637365,492360,1724907728,Appeal3,444 Dogwood Court,Apt 909,Delta,Home,No Mass Appeals,No Surveys,No Mass Communications,Opt-in,Opt-in,Holiday Card
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Amina,Buttercup,Brown,Jokester Junction,0,719613,0,Appeal1,0,0,0,1724623470,Appeal2,898 Willowwood Road,Apt 121,Langley,Home,No Surveys,No Surveys,,Opt-in,Opt-out,Appeal
Parvati Patel,Alice Smith,Priya Gupta,no,no,Olga,,Gupta,,161604,0,123550,Appeal2,1600371610,1349255169,12672,1726441707,Appeal1,121 Maplewood Place,Unit 404,White Rock,Work,No Mass Appeals,,Do Not Email,Opt-in,Opt-out,Holiday Card
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Alice,,Smirnov,Laughing Labs,0,484282,0,Appeal1,0,0,0,1731987056,Appeal1,999 Alder Terrace,Unit 111,Langley,Mobile,No Mass Communications,No Mass Appeals,,Opt-out,Opt-in,Research update
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Sven,,Williams,,49272,466410,15961,Appeal2,1630352183,460254427,517,1736958918,Appeal3,505 Willow Way,Apt 121,West Vancouver,Work,No Mass Communications,No Surveys,,Opt-out,Opt-in,Inspiration event
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Alice,Sweetheart,??????,,311207,640898,87221,Appeal2,1667156996,411582900,3706,1722491317,Appeal2,707 Redwood Terrace,,White Rock,Mobile,No Mass Appeals,,,Opt-out,Opt-out,Research update
Peter Smith,Jane Doe,Sven Müller,no,no,Sven,Babe,Smith,,657713,146701,221189,Appeal1,1727373216,59873572,150773,1732254934,Appeal2,505 Willow Way,Apt 505,Victoria,Mobile,No Mass Communications,Do Not Email,No Mass Communications,Opt-in,Opt-out,Event
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Mei,,Chen,,194986,342104,37139,Appeal2,1634338479,285122662,47377,1724952390,Appeal2,1313 Poplarwood Street,Apt 909,Parksville,Mobile,,No Surveys,No Surveys,Opt-in,Opt-out,Inspiration event
Parvati Patel,Alice Smith,Priya Gupta,no,no,Zainab,Pumpkin,Williams,,634242,483327,101304,Appeal1,1723948279,1356535248,13044,1730858475,Appeal2,123 Maple Street,,New Westminster,Mobile,Do Not Call,No Surveys,No Mass Appeals,Opt-in,Opt-in,Event
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Sergei,Love,Brown,Silly Solutions,0,165577,0,Appeal2,0,0,0,1710728541,Appeal2,777 Laurel Way,,Victoria,Home,,,,Opt-in,Opt-in,Survey
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Hassan,Champ,Ivanov,,165449,712785,152367,Appeal2,1713754484,1374767132,59275,1734758500,Appeal1,505 Willow Way,Apt 888,Coquitlam,Home,Do Not Call,No Mass Communications,Do Not Email,Opt-out,Opt-in,Inspiration event
Parvati Patel,Alice Smith,Priya Gupta,no,no,Alice,Darling,Brown,,0,36071,0,Appeal1,0,0,0,1713771566,Appeal2,123 Maple Street,Apt 101,Coquitlam,Work,No Surveys,No Mass Appeals,No Mass Communications,Opt-out,Opt-in,
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Sven,,?,,248191,344682,132484,Appeal3,1727651020,1212736008,36648,1721694313,Appeal3,898 Willowwood Road,Apt 303,Burnaby,Home,,,No Mass Communications,Opt-in,Opt-in,
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Chao,,Singh,,610308,0,248867,Appeal3,1671749078,1600002006,136838,1734487049,Appeal1,707 Redwood Terrace,Apt 666,Maple Ridge,Home,No Mass Communications,,No Surveys,Opt-out,Opt-in,Survey
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Alice,,?,,0,39461,0,Appeal2,0,0,0,1732703710,Appeal1,123 Maple Street,Apt 303,Port Coquitlam,Mobile,No Mass Appeals,No Surveys,Do Not Email,Opt-in,Opt-in,Inspiration event
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Bob,,Brown,,348182,678014,105588,Appeal1,1671841729,397622408,156943,1722286270,Appeal2,1313 Poplarwood Street,Unit 333,Vancouver,Home,No Surveys,No Surveys,No Surveys,Opt-out,Opt-out,Magazine
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Carlos,,Kumar,,959800,0,339817,Appeal1,1617976341,197552906,245343,1729657689,Appeal3,1717 Hickorywood Court,Unit 454,Richmond,Home,No Mass Appeals,Do Not Email,,Opt-in,Opt-out,Thank you
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,yes,Priya,,Chen,,0,0,0,Appeal3,0,0,0,1740067652,Appeal2,1111 Cypresswood Terrace,Apt 888,Richmond,Work,Do Not Call,No Mass Communications,No Surveys,Opt-out,Opt-in,Event
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,John,,Brown,,543069,878537,436697,Appeal3,1636805202,817532489,262590,1718806058,Appeal3,444 Dogwood Court,Apt 787,Coquitlam,Work,No Mass Communications,No Surveys,No Mass Communications,Opt-in,Opt-out,Survey
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Jane,,López,,792333,817519,772607,Appeal2,1687705486,816834548,134550,1739622476,Appeal2,1717 Hickorywood Court,Apt 707,Vernon,Mobile,No Mass Appeals,Do Not Email,No Mass Appeals,Opt-in,Opt-out,Inspiration event
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Carlos,,Nakamura,,0,0,0,Appeal2,0,0,0,1720291743,Appeal2,1818 Juniperwood Drive,Unit 606,Burnaby,Work,No Mass Communications,Do Not Email,No Mass Appeals,Opt-in,Opt-in,Holiday Card
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Hiroshi,,Kim,,303089,213950,141207,Appeal2,1669505681,445016057,10830,1727711317,Appeal2,333 Magnolia Boulevard,Apt 909,West Vancouver,Home,No Mass Appeals,,Do Not Email,Opt-in,Opt-out,Inspiration event
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Dimitri,,??,,0,0,0,Appeal2,0,0,0,1732030747,Appeal1,1818 Juniperwood Drive,Unit 404,West Vancouver,Work,,No Mass Appeals,No Mass Communications,Opt-in,Opt-out,Event
Peter Smith,John Doe,Sven Müller,yes,no,Juan,,Lee,,325366,32138,199399,Appeal3,1715074141,442804569,109675,1720517264,Appeal2,303 Elm Drive,,Campbell River,Work,No Mass Communications,Do Not Email,No Mass Appeals,Opt-out,Opt-out,Magazine
Peter Smith,John Doe,Sven Müller,no,no,Olga,,Müller,,0,654315,0,Appeal2,0,0,0,1710280515,Appeal1,303 Elm Drive,Unit 232,Campbell River,Home,No Surveys,,No Mass Communications,Opt-in,Opt-in,Event
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Priya,,Hernández,,127783,808903,46281,Appeal3,1620011153,934795878,21200,1729527651,Appeal1,454 Birchwood Lane,Apt 787,Vancouver,Work,,No Mass Communications,No Mass Communications,Opt-out,Opt-out,Event
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Chao,Snookums,Cohen,Laughing Labs,0,16492,0,Appeal2,0,0,0,1708651415,Appeal3,606 Aspen Circle,,Vancouver,Home,No Mass Communications,Do Not Email,No Mass Communications,Opt-in,Opt-out,Holiday Card
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Juan,,??,,0,21962,0,Appeal2,0,0,0,1712782472,Appeal2,1313 Poplarwood Street,Apt 787,Langley,Work,Do Not Call,No Mass Appeals,No Mass Communications,Opt-in,Opt-in,Thank you
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Ingrid,,Lee,,641445,998510,386119,Appeal1,1679357073,1558384153,183288,1719648724,Appeal3,1616 Dogwoodwood Boulevard,Apt 787,North Vancouver,Mobile,Do Not Call,No Surveys,No Surveys,Opt-out,Opt-out,Research update
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Ahmed,,Gupta,,0,524577,0,Appeal1,0,0,0,1713151668,Appeal1,1717 Hickorywood Court,,Vancouver,Work,No Surveys,,No Mass Communications,Opt-in,Opt-in,Magazine
Gurtrude Schmidt,John Doe,Chao Nguyen,yes,no,Sven,,Lee,,963945,0,8942,Appeal3,1699037219,232302664,9018,1726182444,Appeal1,666 Juniper Road,Apt 121,Saanich,Home,,No Mass Communications,No Surveys,Opt-in,Opt-in,Magazine
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Peter,,Nakamura,,672703,695838,319463,Appeal1,1701272954,595643859,154027,1712870392,Appeal1,456 Oak Avenue,,Maple Ridge,Home,Do Not Call,No Surveys,No Mass Communications,Opt-in,Opt-in,Appeal
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Ingrid,Sugar,Singh,,0,0,0,Appeal2,0,0,0,1727904166,Appeal2,444 Dogwood Court,Apt 505,Courtenay,Home,Do Not Call,Do Not Email,No Surveys,Opt-in,Opt-out,Holiday Card
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Alice,,Singh,,0,0,0,Appeal3,0,0,0,1713867664,Appeal1,676 Elmwood Court,Apt 787,Kelowna,Mobile,No Surveys,No Mass Appeals,No Surveys,Opt-out,Opt-in,Holiday Card
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Hiroshi,Peach,Müller,,178374,560517,85100,Appeal2,1590755045,1133182495,50994,1714142199,Appeal3,1717 Hickorywood Court,Apt 343,Victoria,Work,,No Mass Communications,Do Not Email,Opt-out,Opt-in,
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Sven,Sweetheart,Brown,,588737,830432,109363,Appeal1,1674715449,1204822731,22318,1708886034,Appeal2,789 Pine Lane,Unit 333,Campbell River,Mobile,,No Mass Communications,No Surveys,Opt-in,Opt-out,
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Yuki,,López,,0,853174,0,Appeal1,0,0,0,1711753806,Appeal3,999 Alder Terrace,Unit 202,West Vancouver,Home,,,Do Not Email,Opt-out,Opt-in,
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Dimitri,,Singh,,656596,232981,619650,Appeal1,1720397637,912049408,263309,1725193280,Appeal1,1212 Firwood Place,,Vernon,Home,No Mass Communications,No Surveys,No Surveys,Opt-in,Opt-in,Inspiration event
Gurtrude Schmidt,Jane Doe,Sven Müller,yes,no,Rajesh,,?,,0,110270,0,Appeal2,0,0,0,1728524316,Appeal3,456 Oak Avenue,Unit 808,Victoria,Mobile,No Surveys,,,Opt-out,Opt-in,Newsletter
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Hassan,,Nakamura,Acme Anvils Inc.,0,74234,0,Appeal3,0,0,0,1719347099,Appeal1,1212 Firwood Place,Unit 898,White Rock,Work,No Mass Communications,No Mass Communications,No Surveys,Opt-out,Opt-out,Thank you
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Mei,Snookums,Nakamura,,0,213542,0,Appeal3,0,0,0,1735299008,Appeal1,454 Birchwood Lane,,Richmond,Home,No Mass Communications,No Mass Communications,No Mass Communications,Opt-out,Opt-out,Appeal
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Hiroshi,Champ,Hernández,,0,777276,0,Appeal3,0,0,0,1725240977,Appeal3,123 Maple Street,Unit 333,White Rock,Mobile,No Mass Communications,No Surveys,No Mass Communications,Opt-in,Opt-out,Thank you
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Mei,,Nakamura,,487458,17756,253780,Appeal2,1696777025,793371654,65197,1717834583,Appeal3,888 Sequoia Circle,Apt 787,Surrey,Mobile,Do Not Call,,No Mass Appeals,Opt-out,Opt-out,Newsletter
Parvati Patel,Alice Smith,Priya Gupta,no,no,Bob,Peach,Öztürk,,275722,783090,95332,Appeal1,1718952375,1645508285,6982,1737439467,Appeal1,333 Magnolia Boulevard,,West Vancouver,Mobile,No Surveys,No Mass Communications,Do Not Email,Opt-in,Opt-in,Inspiration event
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Jane,Dear,Brown,,0,0,0,Appeal1,0,0,0,1735905882,Appeal2,1212 Firwood Place,Apt 666,Prince George,Mobile,No Mass Appeals,No Mass Appeals,No Surveys,Opt-in,Opt-in,Newsletter
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,John,,Brown,,498619,371966,393089,Appeal2,1596483683,818836050,10237,1736468772,Appeal1,202 Cedar Court,Apt 343,New Westminster,Home,No Surveys,,No Mass Appeals,Opt-out,Opt-in,Newsletter
Gurtrude Schmidt,Jane Doe,Chao Nguyen,yes,no,Sergei,Buttercup,??????,,316377,15796,28039,Appeal3,1720019661,1324955535,4234,1739531150,Appeal1,1111 Cypresswood Terrace,Apt 909,Campbell River,Mobile,Do Not Call,,,Opt-out,Opt-out,Holiday Card
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Jane,Sweetheart,Brown,,0,118720,0,Appeal3,0,0,0,1735821679,Appeal2,1313 Poplarwood Street,Unit 898,White Rock,Home,No Mass Communications,Do Not Email,No Mass Appeals,Opt-out,Opt-in,Thank you
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Priya,,Ahmed,,0,72276,0,Appeal2,0,0,0,1711198228,Appeal2,676 Elmwood Court,Unit 999,Nanaimo,Work,No Surveys,No Mass Communications,No Mass Communications,Opt-out,Opt-out,Event
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Priya,,Chen,,0,340799,0,Appeal2,0,0,0,1732495589,Appeal1,1616 Dogwoodwood Boulevard,,White Rock,Home,No Surveys,,No Surveys,Opt-out,Opt-out,Event
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Ingrid,,Chen,Laughing Labs,0,204878,0,Appeal2,0,0,0,1730130873,Appeal1,1818 Juniperwood Drive,Unit 454,Salmon Arm,Home,No Surveys,No Surveys,Do Not Email,Opt-out,Opt-out,Holiday Card
